TIME ms, IN1, OUT1
500, 0, 0.002931
499.023, 0, 0.005861
498.047, 0.019531, 0.008792
497.07, 0, 0.011717
496.094, 0, 0.014649
495.117, 0, 0.017577
494.141, 0, 0.020508
493.164, 0, 0.023437
492.188, 0, 0.026367
491.211, 0, 0.029297
490.234, 0, 0.032227
489.258, 0, 0.035157
488.281, 0, 0.038086
487.305, 0, 0.041015
486.328, 0, 0.043945
485.352, 0, 0.046875
484.375, 0, 0.049804
483.398, 0, 0.052735
482.422, 0, 0.055664
481.445, 0, 0.058594
480.469, 0, 0.061524
479.492, 0, 0.064453
478.516, 0, 0.067383
477.539, 0, 0.070312
476.563, 0, 0.073242
475.586, 0, 0.076172
474.609, 0, 0.079102
473.633, 0, 0.082031
472.656, 0, 0.084961
471.68, 0, 0.087891
470.703, 0, 0.09082
469.727, 0, 0.09375
468.75, 0, 0.09668
467.773, 0, 0.099609
466.797, 0, 0.102539
465.82, 0, 0.105469
464.844, 0, 0.108398
463.867, 0, 0.111328
462.891, 0, 0.114258
461.914, 0, 0.117188
460.938, 0, 0.120117
459.961, 0, 0.123047
458.984, 0, 0.125977
458.008, 0, 0.128907
457.031, 0, 0.131836
456.055, 0, 0.134766
455.078, 0, 0.137695
454.102, 0, 0.140625
453.125, 0, 0.143555
452.148, 0, 0.146484
451.172, 0, 0.149414
450.195, 0, 0.152344
449.219, 0, 0.155273
448.242, 0, 0.158203
447.266, 0, 0.161133
446.289, 0, 0.164062
445.313, 0, 0.166992
444.336, 0, 0.169922
443.359, 0, 0.172852
442.383, 0, 0.175781
441.406, 0, 0.178711
440.43, 0, 0.181641
439.453, 0, 0.18457
438.477, 0, 0.1875
437.5, 0, 0.19043
436.523, 0, 0.193359
435.547, 0, 0.196289
434.57, 0, 0.199219
433.594, 0, 0.202148
432.617, 0, 0.205078
431.641, 0, 0.208008
430.664, 0, 0.210938
429.688, 0, 0.213867
428.711, 0, 0.216797
427.734, 0, 0.219726
426.758, 0, 0.222656
425.781, 0, 0.225586
424.805, 0, 0.228516
423.828, 0, 0.231445
422.852, 0, 0.234375
421.875, 0, 0.237305
420.898, 0, 0.240234
419.922, 0, 0.243164
418.945, 0, 0.246094
417.969, 0, 0.249023
416.992, 0, 0.251953
416.016, 0, 0.254883
415.039, 0, 0.257812
414.063, 0, 0.260742
413.086, 0, 0.263672
412.109, 0, 0.266602
411.133, 0, 0.269531
410.156, 0, 0.272461
409.18, 0, 0.275391
408.203, 0, 0.27832
407.227, 0, 0.28125
406.25, 0, 0.28418
405.273, 0, 0.287109
404.297, 0, 0.290039
403.32, 0, 0.292969
402.344, 0, 0.295898
401.367, 0, 0.298828
400.391, 0, 0.301758
399.414, 0, 0.304687
398.438, 0, 0.307617
397.461, 0, 0.310547
396.484, 0, 0.313476
395.508, 0, 0.316406
394.531, 0, 0.319336
393.555, 0, 0.322266
392.578, 0, 0.325195
391.602, 0, 0.328125
390.625, 0, 0.331055
389.648, 0, 0.333984
388.672, 0, 0.336914
387.695, 0, 0.339844
386.719, 0, 0.342773
385.742, 0, 0.345703
384.766, 0, 0.348633
383.789, 0, 0.351562
382.813, 0, 0.354492
381.836, 0, 0.357422
380.859, 0, 0.360352
379.883, 0, 0.363281
378.906, 0, 0.366211
377.93, 0, 0.369141
376.953, 0, 0.37207
375.977, 0, 0.375
375, 0, 0.37793
374.023, 0, 0.380859
373.047, 0, 0.383789
372.07, 0, 0.386719
371.094, 0, 0.389648
370.117, 0, 0.392578
369.141, 0, 0.395508
368.164, 0, 0.398437
367.188, 0, 0.401367
366.211, 0, 0.404297
365.234, 0, 0.407227
364.258, 0, 0.410156
363.281, 0, 0.413086
362.305, 0, 0.416016
361.328, 0, 0.418945
360.352, 0, 0.421875
359.375, 0, 0.424805
358.398, 0, 0.427734
357.422, 0, 0.430664
356.445, 0, 0.433594
355.469, 0, 0.436523
354.492, 0, 0.439453
353.516, 0, 0.442383
352.539, 0, 0.445313
351.563, 0, 0.448242
350.586, 0, 0.451172
349.609, 0, 0.454102
348.633, 0, 0.457031
347.656, 0, 0.459961
346.68, 0, 0.462891
345.703, 0, 0.46582
344.727, 0, 0.46875
343.75, 0, 0.47168
342.773, 0, 0.474609
341.797, 0, 0.477539
340.82, 0, 0.480469
339.844, 0, 0.483398
338.867, 0, 0.486328
337.891, 0, 0.489258
336.914, 0, 0.492187
335.938, 0, 0.495117
334.961, 0, 0.498047
333.984, 0, 0.500977
333.008, 0, 0.503906
332.031, 0, 0.506836
331.055, 0, 0.509766
330.078, 0, 0.512695
329.102, 0, 0.515625
328.125, 0, 0.518555
327.148, 0, 0.521484
326.172, 0, 0.524414
325.195, 0, 0.527344
324.219, 0, 0.530273
323.242, 0, 0.533203
322.266, 0, 0.536133
321.289, 0, 0.539062
320.313, 0, 0.541992
319.336, 0, 0.544922
318.359, 0, 0.547851
317.383, 0, 0.550781
316.406, 0, 0.553711
315.43, 0, 0.556641
314.453, 0, 0.55957
313.477, 0, 0.5625
312.5, 0, 0.56543
311.523, 0, 0.568359
310.547, 0, 0.571289
309.57, 0, 0.574219
308.594, 0, 0.577148
307.617, 0, 0.580078
306.641, 0, 0.583008
305.664, 0, 0.585938
304.688, 0, 0.588867
303.711, 0, 0.591797
302.734, 0, 0.594727
301.758, 0, 0.597656
300.781, 0, 0.600586
299.805, 0, 0.603516
298.828, 0, 0.606445
297.852, 0, 0.609375
296.875, 0, 0.612305
295.898, 0, 0.615234
294.922, 0, 0.618164
293.945, 0, 0.621094
292.969, 0, 0.624023
291.992, 0, 0.626953
291.016, 0, 0.629883
290.039, 0, 0.632812
289.063, 0, 0.635742
288.086, 0, 0.638672
287.109, 0, 0.641601
286.133, 0, 0.644531
285.156, 0, 0.647461
284.18, 0, 0.650391
283.203, 0, 0.65332
282.227, 0, 0.65625
281.25, 0, 0.65918
280.273, 0, 0.662109
279.297, 0, 0.665039
278.32, 0, 0.667969
277.344, 0, 0.670898
276.367, 0, 0.673828
275.391, 0, 0.676758
274.414, 0, 0.679688
273.438, 0, 0.682617
272.461, 0, 0.685547
271.484, 0, 0.688477
270.508, 0, 0.691406
269.531, 0, 0.694336
268.555, 0, 0.697266
267.578, 0, 0.700195
266.602, 0, 0.703125
265.625, 0, 0.706055
264.648, 0, 0.708984
263.672, 0, 0.711914
262.695, 0, 0.714844
261.719, 0, 0.717773
260.742, 0, 0.720703
259.766, 0, 0.723633
258.789, 0, 0.726562
257.813, 0, 0.729492
256.836, 0, 0.732422
255.859, 0, 0.735352
254.883, 0, 0.738281
253.906, 0, 0.741211
252.93, 0, 0.744141
251.953, 0, 0.74707
250.977, 0, 0.75
250, 0, 0.75293
249.023, 0, 0.755859
248.047, 0, 0.758789
247.07, 0, 0.761719
246.094, 0, 0.764648
245.117, 0, 0.767578
244.141, 0, 0.770508
243.164, 0, 0.773438
242.188, 0, 0.776367
241.211, 0, 0.779297
240.234, 0, 0.782226
239.258, 0, 0.785156
238.281, 0, 0.788086
237.305, 0, 0.791016
236.328, 0, 0.793945
235.352, 0, 0.796875
234.375, 0, 0.799805
233.398, 0, 0.802734
232.422, 0, 0.805664
231.445, 0, 0.808594
230.469, 0, 0.811523
229.492, 0, 0.814453
228.516, 0, 0.817383
227.539, 0, 0.820312
226.563, 0, 0.823242
225.586, 0, 0.826172
224.609, 0, 0.829102
223.633, 0, 0.832031
222.656, 0, 0.834961
221.68, 0, 0.837891
220.703, 0, 0.84082
219.727, 0, 0.84375
218.75, 0, 0.84668
217.773, 0, 0.849609
216.797, 0, 0.852539
215.82, 0, 0.855469
214.844, 0, 0.858399
213.867, 0, 0.861328
212.891, 0, 0.864258
211.914, 0, 0.867187
210.938, 0, 0.870117
209.961, 0, 0.873047
208.984, 0, 0.875976
208.008, 0, 0.878906
207.031, 0, 0.881836
206.055, 0, 0.884766
205.078, 0, 0.887695
204.102, 0, 0.890625
203.125, 0, 0.893555
202.148, 0, 0.896484
201.172, 0, 0.899414
200.195, 0, 0.902344
199.219, 0, 0.905273
198.242, 0, 0.908203
197.266, 0, 0.911133
196.289, 0, 0.914062
195.313, 0, 0.916992
194.336, 0, 0.919922
193.359, 0, 0.922852
192.383, 0, 0.925781
191.406, 0, 0.928711
190.43, 0, 0.931641
189.453, 0, 0.93457
188.477, 0, 0.9375
187.5, 0, 0.94043
186.523, 0, 0.943359
185.547, 0, 0.946289
184.57, 0, 0.949219
183.594, 0, 0.952148
182.617, 0, 0.955078
181.641, 0, 0.958008
180.664, 0, 0.960937
179.688, 0, 0.963867
178.711, 0, 0.966797
177.734, 0, 0.969726
176.758, 0, 0.972656
175.781, 0, 0.975586
174.805, 0, 0.978516
173.828, 0, 0.981445
172.852, 0, 0.984375
171.875, 0, 0.987305
170.898, 0, 0.990234
169.922, 0, 0.993164
168.945, 0, 0.996094
167.969, 0, 0.999023
166.992, 0, 1.001953
166.016, 0, 1.004883
165.039, 0, 1.007812
164.063, 0, 1.010742
163.086, 0, 1.013672
162.109, 0, 1.016602
161.133, 0, 1.019531
160.156, 0, 1.022461
159.18, 0, 1.02539
158.203, 0, 1.02832
157.227, 0, 1.03125
156.25, 0, 1.03418
155.273, 0, 1.037109
154.297, 0, 1.040039
153.32, 0, 1.042969
152.344, 0, 1.045898
151.367, 0, 1.048828
150.391, 0, 1.051758
149.414, 0, 1.054687
148.438, 0, 1.057617
147.461, 0, 1.060547
146.484, 0, 1.063477
145.508, 0, 1.066406
144.531, 0, 1.069336
143.555, 0, 1.072266
142.578, 0, 1.075195
141.602, 0, 1.078125
140.625, 0, 1.081055
139.648, 0, 1.083984
