TIME ns, IN1, OUT1
500, 2.246094, 3
499.023, 2.222252, 3
498.047, 2.19841, 3
497.07, 2.174568, 3
496.094, 2.150726, 3
495.117, 2.126884, 3
494.141, 2.103043, 3
493.164, 2.079201, 3
492.188, 2.055359, 3
491.211, 2.070045, 3
490.234, 2.093887, 3
489.258, 2.117729, 3
488.281, 2.141571, 3
487.305, 2.148438, 3
486.328, 2.148438, 3
485.352, 2.148438, 3
484.375, 2.148438, 3
483.398, 2.148438, 3
482.422, 2.148438, 3
481.445, 2.148438, 3
480.469, 2.148438, 3
479.492, 2.148438, 3
478.516, 2.148438, 3
477.539, 2.148438, 3
476.563, 2.148438, 3
475.586, 2.148438, 3
474.609, 2.148438, 3
473.633, 2.148438, 3
472.656, 2.148438, 3
471.68, 2.148438, 3
470.703, 2.148438, 3
469.727, 2.148438, 3
468.75, 2.148438, 3
467.773, 2.148438, 3
466.797, 2.148438, 3
465.82, 2.148438, 3
464.844, 2.148438, 3
463.867, 2.145195, 3
462.891, 2.121353, 3
461.914, 2.097511, 3
460.938, 2.073669, 3
459.961, 2.051735, 3
458.984, 2.075577, 3
458.008, 2.099419, 3
457.031, 2.12326, 3
456.055, 2.147102, 3
455.078, 2.148438, 3
454.102, 2.148438, 3
453.125, 2.148438, 3
452.148, 2.148438, 3
451.172, 2.12822, 3
450.195, 2.104378, 3
449.219, 2.080536, 3
448.242, 2.056694, 3
447.266, 2.06871, 3
446.289, 2.092552, 3
445.313, 2.116394, 3
444.336, 2.140236, 3
443.359, 2.148438, 3
442.383, 2.148438, 3
441.406, 2.148438, 3
440.43, 2.148438, 3
439.453, 2.148438, 3
438.477, 2.148438, 3
437.5, 2.148438, 3
436.523, 2.148438, 3
435.547, 2.148438, 3
434.57, 2.148438, 3
433.594, 2.148438, 3
432.617, 2.148438, 3
431.641, 2.148438, 3
430.664, 2.148438, 3
429.688, 2.148438, 3
428.711, 2.148438, 3
427.734, 2.154922, 3
426.758, 2.178764, 3
425.781, 2.202606, 3
424.805, 2.226448, 3
423.828, 2.237702, 3
422.852, 2.190018, 3
421.875, 2.142334, 3
420.898, 2.094651, 3
419.922, 2.050781, 3
418.945, 2.050781, 3
417.969, 2.050781, 3
416.992, 2.050781, 3
416.016, 2.050781, 3
415.039, 2.074242, 3
414.063, 2.098083, 3
413.086, 2.121925, 3
412.109, 2.145767, 3
411.133, 2.148438, 3
410.156, 2.148438, 3
409.18, 2.148438, 3
408.203, 2.148438, 3
407.227, 2.148438, 3
406.25, 2.148438, 3
405.273, 2.148438, 3
404.297, 2.148438, 3
403.32, 2.165031, 3
402.344, 2.188873, 3
401.367, 2.212715, 3
400.391, 2.236557, 3
399.414, 2.217484, 3
398.438, 2.1698, 3
397.461, 2.122116, 3
396.484, 2.074433, 3
395.508, 2.062798, 3
394.531, 2.086639, 3
393.555, 2.110481, 3
392.578, 2.134323, 3
391.602, 2.13871, 3
390.625, 2.114868, 3
389.648, 2.091026, 3
388.672, 2.067184, 3
387.695, 2.050781, 3
386.719, 2.050781, 3
385.742, 2.050781, 3
384.766, 2.050781, 3
383.789, 2.055931, 3
382.813, 2.079773, 3
381.836, 2.103615, 3
380.859, 2.127457, 3
379.883, 2.151299, 3
378.906, 2.17514, 3
377.93, 2.198982, 3
376.953, 2.222824, 3
375.977, 2.24495, 3
375, 2.197266, 3
374.023, 2.149582, 3
373.047, 2.101898, 3
372.07, 2.054215, 3
371.094, 2.072906, 3
370.117, 2.096748, 3
369.141, 2.12059, 3
368.164, 2.144432, 3
367.188, 2.148438, 3
366.211, 2.148438, 3
365.234, 2.148438, 3
364.258, 2.148438, 3
363.281, 2.148438, 3
362.305, 2.148438, 3
361.328, 2.148438, 3
360.352, 2.148438, 3
359.375, 2.148438, 3
358.398, 2.148438, 3
357.422, 2.148438, 3
356.445, 2.148438, 3
355.469, 2.148438, 3
354.492, 2.148438, 3
353.516, 2.148438, 3
352.539, 2.148438, 3
351.563, 2.148438, 3
350.586, 2.148438, 3
349.609, 2.148438, 3
348.633, 2.148438, 3
347.656, 2.148438, 3
346.68, 2.148438, 3
345.703, 2.148438, 3
344.727, 2.148438, 3
343.75, 2.148438, 3
342.773, 2.148438, 3
341.797, 2.148438, 3
340.82, 2.148438, 3
339.844, 2.148438, 3
338.867, 2.148438, 3
337.891, 2.148438, 3
336.914, 2.148438, 3
335.938, 2.148438, 3
